skillName,simSymba,bestSimSymba
negotiation ,"Tuple{String,Float32}[(""negotiation"", 0.916667), (""negotiation"", 0.916667), (""negotiation"", 0.916667)]",0.916667
generally accepted accounting principles (gaap),"Tuple{String,Float32}[(""generally accepted accounting principles (gaap)"", 1.0), (""generally accepted accounting principles (gaap)"", 1.0)]",1
income tax,"Tuple{String,Float32}[(""income tax"", 1.0)]",1
constant contact,"Tuple{String,Float32}[(""constant contact"", 1.0)]",1
salesforce,"Tuple{String,Float32}[(""salesforce"", 1.0)]",1
international financial reporting standards (ifrs),"Tuple{String,Float32}[(""international financial reporting standards (ifrs)"", 1.0), (""international financial reporting standards (ifrs)"", 1.0)]",1
ibm db2,"Tuple{String,Float32}[(""ibm db2"", 1.0)]",1
data analysis ,"Tuple{String,Float32}[(""data analysis"", 0.928571), (""data analysis"", 0.928571), (""gap analysis"", 0.714286)]",0.928571
workday,"Tuple{String,Float32}[(""workday"", 1.0)]",1
java ee,"Tuple{String,Float32}[(""java ee"", 1.0)]",1
compliance,"Tuple{String,Float32}[(""compliance"", 1.0)]",1
water,"Tuple{String,Float32}[(""water"", 1.0)]",1
ansible,"Tuple{String,Float32}[(""ansible"", 1.0)]",1
nodejs,"Tuple{String,Float32}[(""nodejs"", 1.0)]",1
flux,"Tuple{String,Float32}[(""flux"", 1.0)]",1
biotechnology,"Tuple{String,Float32}[(""biotechnology"", 1.0), (""technology"", 0.769231)]",1
jquery,"Tuple{String,Float32}[(""jquery"", 1.0)]",1
servlet,"Tuple{String,Float32}[(""servlet"", 1.0)]",1
financial forecasting,"Tuple{String,Float32}[(""financial forecasting"", 1.0)]",1
.net,"Tuple{String,Float32}[("".net"", 1.0)]",1
nodejs,"Tuple{String,Float32}[(""nodejs"", 1.0)]",1
health insurance,"Tuple{String,Float32}[(""health insurance"", 1.0)]",1
wordpress,"Tuple{String,Float32}[(""wordpress"", 1.0)]",1
variance analysis,"Tuple{String,Float32}[(""variance analysis"", 1.0)]",1
flask,"Tuple{String,Float32}[(""flask"", 1.0), (""flash"", 0.8)]",1
ant,"Tuple{String,Float32}[(""ant"", 1.0)]",1
database,"Tuple{String,Float32}[(""database"", 1.0), (""database"", 1.0), (""databases"", 0.888889)]",1
tensorflow,"Tuple{String,Float32}[(""tensorflow"", 1.0)]",1
filing,"Tuple{String,Float32}[(""filing"", 1.0)]",1
drupal,"Tuple{String,Float32}[(""drupal"", 1.0), (""drupal"", 1.0)]",1
jquery,"Tuple{String,Float32}[(""jquery"", 1.0)]",1
sap,"Tuple{String,Float32}[(""sap"", 1.0)]",1
hive,"Tuple{String,Float32}[(""hive"", 1.0), (""live"", 0.75)]",1
perl,"Tuple{String,Float32}[(""perl"", 1.0)]",1
presentation,"Tuple{String,Float32}[(""presentation"", 1.0), (""presentation"", 1.0), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""implementation"", 0.714286), (""data presentation"", 0.705882)]",1
qualitative research,"Tuple{String,Float32}[(""qualitative research"", 1.0), (""quantitative research"", 0.904762)]",1
less,"Tuple{String,Float32}[(""less"", 1.0)]",1
